timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559634721782,617,Search_99 /,200,OK,Thread Group 1-1,text,true,,1463,326,3,3,http://demo.borland.com/,616,0,463
1559634721849,550,Search_99 /,200,OK,Thread Group 1-3,text,true,,1463,326,3,3,http://demo.borland.com/,549,0,390
1559634721782,617,Search_99 /,200,OK,Thread Group 1-2,text,true,,1463,326,3,3,http://demo.borland.com/,616,0,457
1559634722403,136,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-3,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,135,0,0
1559634722403,136,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-2,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,136,0,0
1559634722403,142,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-1,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,142,0,0
1559634722540,136,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-2,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,136,0,0
1559634722540,135,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-3,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,135,0,0
1559634722546,142,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-1,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,142,0,0
1559634722678,136,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,135,0,0
1559634722678,140,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,140,0,0
1559634722688,142,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,142,0,0
1559634722815,144,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,144,0,0
1559634722820,140,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,140,0,0
1559634722831,143,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,143,0,0
1559634722961,138,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-2,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,137,0,0
1559634722961,142,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-3,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,141,0,0
1559634722976,142,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-1,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,142,0,0
1559634723100,325,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-2,text,true,,2246,1009,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,136,0,0
1559634723100,136,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-2,text,true,,430,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=pants&Button=Submit+with+GET,136,0,0
1559634723239,186,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-2,text,true,,1816,494,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,186,0,0
1559634723104,349,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-3,text,true,,2241,1008,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,155,0,0
1559634723104,155,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-3,text,true,,428,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=parka&Button=Submit+with+GET,155,0,0
1559634723260,193,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-3,text,true,,1813,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,193,0,0
1559634723119,354,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-1,text,true,,2241,1008,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,144,0,0
1559634723119,144,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-1,text,true,,428,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=parka&Button=Submit+with+GET,144,0,0
1559634723264,209,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-1,text,true,,1813,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,209,0,0
1559634723433,173,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-2,text,true,,3208,494,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,164,0,0
1559634723603,3,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-2,text,true,,1392,0,0,0,null,0,0,0
1559634721709,1805,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,14925,4112,3,3,null,1605,93,457
1559634723454,173,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-3,text,true,,3202,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,169,0,0
1559634723626,1,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-3,text,true,,1389,0,0,0,null,0,0,0
1559634721848,1765,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,14914,4110,3,3,null,1563,14,390
1559634723473,174,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-1,text,true,,3202,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,173,0,0
1559634723646,1,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-1,text,true,,1389,0,0,0,null,0,0,0
1559634721708,1856,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,14914,4110,3,3,null,1644,83,463
1559634723608,164,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-2,text,true,,1652,501,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=10,164,0,0
1559634723607,164,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1652,501,3,3,null,164,4,0
1559634723628,169,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-3,text,true,,1653,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=8,169,0,0
1559634723627,169,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1653,500,3,3,null,169,2,0
1559634723647,173,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-1,text,true,,1653,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=8,173,0,0
1559634723647,173,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1653,500,3,3,null,173,1,0
1559634723776,136,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1611,503,3,3,http://demo.borland.com/ShopItV60/main.asp,136,0,0
1559634723798,136,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,136,0,0
1559634723822,256,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,256,0,127
1559634723914,272,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-2,text,true,,2017,498,3,3,http://demo.borland.com/ShopItV60/checkout.asp,271,0,133
1559634723935,259,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-3,text,true,,2019,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,258,0,127
1559634724079,130,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-1,text,true,,2018,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,130,0,0
1559634724201,133,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-3,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=89.9&sid=750610626,133,0,0
1559634724211,127,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-1,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=89.9&sid=750610627,127,0,0
1559634724201,140,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-2,text,true,,567,550,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=39.9&sid=750610625,140,0,0
1559634724335,137,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-3,text,true,,2174,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610626,136,0,0
1559634724339,137,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-1,text,true,,2173,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610627,136,0,0
1559634724343,142,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-2,text,true,,2173,560,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610625,142,0,0
1559634724473,132,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-3,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,131,0,0
1559634724477,131,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-1,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,130,0,0
1559634724486,138,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-2,text,true,,1642,717,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,138,0,0
1559634724606,129,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-3,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,129,0,0
1559634724608,131,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-1,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,131,0,0
1559634724625,136,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-2,text,true,,1269,503,3,3,http://demo.borland.com/ShopItV60/thanks.asp,136,0,0
1559634724738,129,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-3,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,129,0,0
1559634724741,129,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-1,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,129,0,0
1559634724763,135,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-2,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,135,0,0
1559634724869,144,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-3,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,144,0,0
1559634723798,1199,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,12434,4205,3,3,null,1196,16,127
1559634724871,160,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-1,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,160,0,0
1559634723821,1201,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,12432,4205,3,3,null,1199,11,127
1559634724899,137,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-2,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,137,0,0
1559634723775,1236,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,12432,4211,3,3,null,1235,26,133
1559634725037,254,Search_99 /,200,OK,Thread Group 1-3,text,true,,1463,326,3,3,http://demo.borland.com/,254,0,126
1559634725039,272,Search_99 /,200,OK,Thread Group 1-2,text,true,,1463,326,3,3,http://demo.borland.com/,272,0,135
1559634725038,275,Search_99 /,200,OK,Thread Group 1-1,text,true,,1463,326,3,3,http://demo.borland.com/,275,0,136
1559634725292,129,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-3,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,129,0,0
1559634725312,139,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-2,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,139,0,0
1559634725314,140,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-1,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,140,0,0
1559634725422,129,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-3,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,129,0,0
1559634725452,138,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-2,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,138,0,0
1559634725455,139,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-1,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,139,0,0
1559634725552,130,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,130,0,0
1559634725591,138,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,138,0,0
1559634725595,139,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,139,0,0
1559634725683,129,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,129,0,0
1559634725729,141,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,141,0,0
1559634725734,139,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,139,0,0
1559634725814,128,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-3,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,128,0,0
1559634725871,139,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-2,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,138,0,0
1559634725874,140,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-1,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,139,0,0
1559634725943,284,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-3,text,true,,2241,1008,3,3,http://demo.borland.com/ShopItV60/product.asp?code=9,127,0,0
1559634725943,127,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-3,text,true,,428,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=shirt&Button=Submit+with+GET,127,0,0
1559634726071,156,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-3,text,true,,1813,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=9,156,0,0
1559634726011,320,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-2,text,true,,2241,1008,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,136,0,0
1559634726011,136,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-2,text,true,,428,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=parka&Button=Submit+with+GET,136,0,0
1559634726148,183,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-2,text,true,,1813,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,183,0,0
1559634726015,324,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-1,text,true,,2247,1009,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,137,0,0
1559634726015,138,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-1,text,true,,430,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=pants&Button=Submit+with+GET,137,0,0
1559634726153,186,Search_126 /ShopItV60/checkselection.asp-1,200,OK,Thread Group 1-1,text,true,,1817,494,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,186,0,0
1559634726229,156,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-3,text,true,,3266,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=9,155,0,0
1559634726383,1,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-3,text,true,,1453,0,0,0,null,0,0,0
1559634725016,1339,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,14978,4110,3,3,null,1181,30,126
1559634726331,172,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-2,text,true,,3265,493,3,3,http://demo.borland.com/ShopItV60/product.asp?code=8,171,0,0
1559634726503,0,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-2,text,true,,1452,0,0,0,null,0,0,0
1559634725039,1459,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,14977,4110,3,3,null,1273,6,135
1559634726351,173,Search_127 /ShopItV60/product.asp,200,OK,Thread Group 1-1,text,true,,3274,494,3,3,http://demo.borland.com/ShopItV60/product.asp?code=10,171,0,0
1559634726523,1,Search_127 /ShopItV60/product.asp-0,200,OK,Thread Group 1-1,text,true,,1457,0,0,0,null,0,0,0
1559634725035,1469,Search_99 /,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,14992,4112,3,3,null,1279,21,136
1559634726384,153,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-3,text,true,,1652,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=9,153,0,0
1559634726384,153,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1652,500,3,3,null,153,2,0
1559634726504,168,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-2,text,true,,1653,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=8,168,0,0
1559634726504,168,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1653,500,3,3,null,168,1,0
1559634726540,137,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,137,0,0
1559634726525,170,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-1,text,true,,1652,501,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=10,170,0,0
1559634726524,170,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1652,501,3,3,null,170,2,0
1559634726678,131,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-3,text,true,,2017,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,130,0,0
1559634726674,140,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,139,0,0
1559634726696,140,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1611,503,3,3,http://demo.borland.com/ShopItV60/main.asp,139,0,0
